s.age.t4,s.gen.t4,s.inc.t4,ad.1.t4,ad.2.t4,ad.3.t4,ad.4.t4,ad.5.t4,ad.6.t4,ad.7.t4,ad.8.t4
24,1,5,1,1,1,1,1,1,1,1
47,2,3,1,2,1,1,1,1,2,4
43,1,4,2,2,2,2,2,2,2,4
43,1,4,1,1,1,1,1,1,1,1
30,2,4,2,2,2,2,2,2,2,2
56,2,4,2,3,3,3,3,3,3,3
37,1,4,2,2,2,2,2,2,2,2
57,1,5,1,1,1,1,1,1,1,1
28,1,5,2,2,1,1,1,1,1,1
33,2,2,4,3,3,3,3,1,1,1
48,1,4,3,2,1,1,1,2,2,3
53,2,4,2,2,1,1,2,1,1,1
 , , , , , , , , , , 
55,2,4,3,2,2,2,2,1,2,4
23,2,3,3,3,3,3,3,3,3,3
32,1,1,1,1,1,1,1,1,1,1
27,2,4,1,1,3,1,1,1,2,3
50,1,4,3,3,3,4,4,2,4,4
45,2,4,1,1,1,1,1,1,1,1
41,1,5,2,1,1,1,1,1,1,2
32,1,4,1,1,1,1,1,1,1,1
29,2,4,3,3,3,2,2,2,2,4
29,1,3,3,2,2,2,2,2,2,2
59,1,4,3,3,2,3,3,1,2,3
45,1,4,3,2,2,2,2,1,1,3
44,1,2,2,2,1,1,1,1,1,1
34,1,2,2,1,1,1,1,1,1,1
31,1,4,1,1,1,1,1,1,1,1
45,2,4,2,2,1,1,2,1,1,2
23,2,3,2,1,1,1,1,1,1,1
46,2,3,3,2,1,1,1,1,1,2
41,1,2,2,2,2,2,2,2,2,2
44,1,4,2,2,2,2,2,1,2,3
37,1,4,1,1,1,1,1,1,1,1
21,2,2,1,1,1,1,1,1,1,1
54,1,4,3,3,3,3,3,4,3,3
61,2,4,4,4,3,2,3,2,3,2
34,1,4,2,2,1,1,1,1,1,2
38,1,4,2,1,1,1,1,1,1,2
25,2,3,1,1,1,1,1,1,1,1
25,2,4,2,2,2,2,2,2,2,2
24,2,3,1,1,1,1,1,1,1,1
41,1,3,3,2,2,2,2,3,2,2
50,2,4,3,3,3,2,2,2,1,1
27,1,3,3,3,2,2,3,3,4,3
42,2,4,1,1,1,1,1,1,1,1
51,1,2,2,2,1,1,1,1,1,3
46,2, ,2,2,2,2,2,2,2,3
51,2,3,1,1,1,1,1,1,1,1
21,1,1,2,1,2,1,1,1,2,2
44,1,4,2,2,2,2,2,1,2,3
46,1,3,1,1,1,1,1,1,1,1
48,1,3,2,2,2,1,2,3,2,3
35,1,3,2,1,1,1,1,1,2,1
61,2,3,3,3,2,2,2,1,2,3
47,1,3,2,1,1,1,2,1,1,1
55,2,3,3,2,1,1,1,3,3,2
51,1,5,2,1,1,1,1,1,1,1
58,2,4,2,2,2,2,2,2,2,3
37,1,4,1,1,2,1,1,1,1,3
49,2,3,1,1,1,1,1,1,2,2
60,2,3,2,2,1,2,1,1,3,2
63,1,4,3,2,2,3,3,2,3,4
50,1,4,2,2,2,1,1,2,2,2
55,2,5,3,3,3,3,3,2,3,3
27,2,2,1,1,2,1,1,1,1,1
30,2,5,2,2,1,2,2,1,1,1
42,1,5,2,2,2,2,2,1,2,3
43,2,4,3,2,3,2,2,2,2,3
48,1,2,2,2,2,2,2,2,2,2
45,1,4,3,3,2,2,3,2,2,3
55,1,5,3,2,2,1,2,3,1,3
31,2,3,2,3,4,2,3,1,3,3
41,1,4,3,2,2,2,1,2,1,2
43,1,4,4,3,3,3,3,3,2,4
47,2,4,3,3,3,3,3,4,3,4
50,2,2,2,2,2,1,2,1,1,2
52,1,5,2,1,1,1,1,2,1,3
37,1,2,2,2,1,2,2,1,1,2
22,2,4,2,2,2,2,2,2,3,3
49,1,3,1,1,1,1,1,1,1,1
 , , , , , , , , , , 
57,1,3,2,2,1,2,2,1,2,2
57,2,2,2,2,1,1,2,2,3,2
51,1,4,4,4,3,3,3,2,3,4
56,2,5,2,2,3,3,2,2,3,4
27,1,4,1,1,2,2,2,1,1,1
35,1,2,1,1,1,1,1,1,1,1
45,1,5,1,1,1,1,1,1,1,1
25,1,3,1,1,1,1,1,1,1,1
35,2,5,2,1,1,1,2,1,1,1
57,2,2,2,2,1,1,1,1,1,4
58,1,4,1,1,1,1,2,1,1,1
55,2,4,2,3,1,2,2,1,2,3
46,1,4,2,2,1,1,2,1,2,3
46,1,3,1,1,1,1,1,1,1,1
54,2,1,1,1,1,1,1,1,1,1
33,1,4,4,3,1,2,1,1,4,2
30,2, ,2,2,1,1,2,1,1,1
31,1,4,1,2,1,2,2,2,2,1
39,1,4,1,1,1,1,1,1,1,1
21,2,3,2,2,2,2,2,2,2,2
47,1,4,2,2,1,1,1,1,1,3
41,2,4,4,4,3,4,4,4,4,4
24,1,4,3,2,2,3,2,2,2,3
29,2,1,1,2,2,1,2,3,2,2
65,2,2,2,2,2,1,1,1,3,2
50,1,5,1,1,1,1,1,1,1,1
25,2,3,2,1,2,2,2,1,1,1
26,2,5,2,1,1,2,2,1,1,1
